Date,Adj Close,Close,High,Low,Open,Volume
2021-07-22,663.5916748046875,678.7000122070312,713.9500122070312,670.0999755859375,687.4500122070312,719984
2021-07-23,680.99560546875,696.5,700.0,662.2000122070312,679.9000244140625,468334
2021-07-26,687.8397216796875,703.5,709.9000244140625,700.0,701.0999755859375,323649
2021-07-27,689.3552856445312,705.0499877929688,714.0,701.5999755859375,710.0,359641
2021-07-28,684.7598266601562,700.3499755859375,706.9000244140625,681.9500122070312,705.0499877929688,285523
2021-07-29,675.9113159179688,691.2999877929688,723.9000244140625,686.0,700.3499755859375,435245
2021-07-30,657.4319458007812,672.4000244140625,689.0,666.0,682.9500122070312,781968
2021-08-02,722.7938232421875,739.25,755.0,680.0,680.0,5642093
2021-08-03,703.6302490234375,719.6500244140625,744.9500122070312,712.8499755859375,742.0,760144
2021-08-04,702.407958984375,718.4000244140625,723.5999755859375,706.0,720.9000244140625,817621
2021-08-05,687.6930541992188,703.3499755859375,722.5,693.5999755859375,722.5,449536
2021-08-06,682.5597534179688,698.0999755859375,706.6500244140625,688.5499877929688,703.3499755859375,339354
2021-08-09,684.0753784179688,699.6500244140625,712.0499877929688,695.2000122070312,700.2999877929688,337434
2021-08-10,684.2220458984375,699.7999877929688,706.0499877929688,680.0,696.6500244140625,421237
2021-08-11,677.3289794921875,692.75,700.0,666.5499877929688,694.0,343497
2021-08-12,674.7868041992188,690.1500244140625,697.25,681.3499755859375,685.8499755859375,231200
2021-08-13,676.2534790039062,691.6500244140625,696.5999755859375,681.2999877929688,690.1500244140625,172973
2021-08-16,678.9911499023438,694.4500122070312,704.0,690.4000244140625,691.6500244140625,219056
2021-08-17,680.7022705078125,696.2000122070312,703.0499877929688,688.2000122070312,695.5,181256
2021-08-18,669.3114624023438,684.5499877929688,698.0999755859375,676.2000122070312,696.4500122070312,108118
2021-08-20,641.7393798828125,656.3499755859375,678.9500122070312,643.4500122070312,678.0,455423
2021-08-23,649.3167114257812,664.0999755859375,684.0,652.2000122070312,659.7000122070312,513598
2021-08-24,658.947509765625,673.9500122070312,676.0499877929688,652.8499755859375,667.4500122070312,218328
2021-08-25,660.365234375,675.4000244140625,680.0,666.0499877929688,674.2000122070312,100760
2021-08-26,650.9300537109375,665.75,676.5499877929688,662.0999755859375,675.7999877929688,169269
2021-08-27,663.2006225585938,678.2999877929688,684.2000122070312,657.5,660.0,171694
2021-08-30,682.6576538085938,698.2000122070312,702.9500122070312,670.2999877929688,672.0,222947
2021-08-31,687.9373779296875,703.5999755859375,711.0,688.5999755859375,702.0,251207
2021-09-01,761.218994140625,778.5499877929688,803.2999877929688,716.0,717.5999755859375,6201915
