Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,BB_High,BB_Low,BB_Middle,Daily_Return,RSI_Signal
2021-07-22,663.5917358398438,678.7000122070312,713.9500122070312,670.0999755859375,687.4500122070312,719984,,,,,,,,,,,,,HOLD
2021-07-23,680.9954223632812,696.5,700.0,662.2000122070312,679.9000244140625,468334,,,,,,,,,,,,0.026226591237394903,HOLD
2021-07-26,687.8397827148438,703.5,709.9000244140625,700.0,701.0999755859375,323649,,,,,,,,,,,,0.01005025125628145,HOLD
2021-07-27,689.3552856445312,705.0499877929688,714.0,701.5999755859375,710.0,359641,,,,,,,,,,,,0.0022032520155916835,HOLD
2021-07-28,684.759765625,700.3499755859375,706.9000244140625,681.9500122070312,705.0499877929688,285523,,,,,,,,,,,,-0.0066662113160852465,HOLD
2021-07-29,675.9111938476562,691.2999877929688,723.9000244140625,686.0,700.3499755859375,435245,,,,,,,,,,,,-0.012922093393945233,HOLD
2021-07-30,657.4319458007812,672.4000244140625,689.0,666.0,682.9500122070312,781968,,,,,,,,,,,,-0.027339742098428044,HOLD
2021-08-02,722.7938842773438,739.25,755.0,680.0,680.0,5642093,,,,,,,,,,,,0.09941994818365951,HOLD
2021-08-03,703.6303100585938,719.6500244140625,744.9500122070312,712.8499755859375,742.0,760144,,,,,,,,,,,,-0.026513325107795027,HOLD
2021-08-04,702.407958984375,718.4000244140625,723.5999755859375,706.0,720.9000244140625,817621,,,,,,,,,,,,-0.0017369554055358671,HOLD
2021-08-05,687.6929931640625,703.3499755859375,722.5,693.5999755859375,722.5,449536,,,,,,,,,,,,-0.02094939910448923,HOLD
2021-08-06,682.5599365234375,698.0999755859375,706.6500244140625,688.5499877929688,703.3499755859375,339354,,,,,,,,,,,,-0.007464278356768883,HOLD
2021-08-09,684.075439453125,699.6500244140625,712.0499877929688,695.2000122070312,700.2999877929688,337434,,,,,,,,,,,,0.002220382298142809,HOLD
2021-08-10,684.2219848632812,699.7999877929688,706.0499877929688,680.0,696.6500244140625,421237,,,,,52.79816023754253,,,,,,,0.00021434056124247647,HOLD
2021-08-11,677.3290405273438,692.75,700.0,666.5499877929688,694.0,343497,,,,,49.24725658709903,,,,,,,-0.010074289676973325,HOLD
2021-08-12,674.7868041992188,690.1500244140625,697.25,681.3499755859375,685.8499755859375,231200,,,,,47.96604862099451,,,,,,,-0.0037531224625586557,HOLD
2021-08-13,676.2536010742188,691.6500244140625,696.5999755859375,681.2999877929688,690.1500244140625,172973,,,,,48.79373791027179,,,,,,,0.0021734404795152873,HOLD
2021-08-16,678.9910888671875,694.4500122070312,704.0,690.4000244140625,691.6500244140625,219056,,,,,50.380396121514345,,,,,,,0.004048272528206498,HOLD
2021-08-17,680.7021484375,696.2000122070312,703.0499877929688,688.2000122070312,695.5,181256,,,,,51.394110938213736,,,,,,,0.002519979795865046,HOLD
2021-08-18,669.3115844726562,684.5499877929688,698.0999755859375,676.2000122070312,696.4500122070312,108118,698.7875030517578,,,694.5546308855714,44.82830173937253,,,,727.4069152138495,670.168090889666,698.7875030517578,-0.016733731987637612,HOLD
2021-08-20,641.7393188476562,656.3499755859375,678.9500122070312,643.4500122070312,678.0,455423,697.6700012207032,,,690.9160922856063,33.62890226927175,,,,730.739062303974,664.6009401374323,697.6700012207032,-0.0411949641514856,HOLD
2021-08-23,649.3167114257812,664.0999755859375,684.0,652.2000122070312,659.7000122070312,513598,696.05,,,688.3621764094473,38.19850572935117,,,,732.2187811345814,659.8812188654185,696.05,0.011807724976421907,HOLD
2021-08-24,658.947509765625,673.9500122070312,676.0499877929688,652.8499755859375,667.4500122070312,218328,694.5725006103515,,,686.9895893425505,43.520911923718295,,,,731.8019258418198,657.3430753788833,694.5725006103515,0.01483215928806958,HOLD
2021-08-25,660.3652954101562,675.4000244140625,680.0,666.0499877929688,674.2000122070312,100760,693.0900024414062,,,685.8858212541231,44.281633807713,,,,730.8894749370489,655.2905299457635,693.0900024414062,0.0021515129917168974,HOLD
2021-08-26,650.9299926757812,665.75,676.5499877929688,662.0999755859375,675.7999877929688,169269,691.3600036621094,,,683.9681239918257,40.38327992663031,,,,730.8034092266741,651.9165980975447,691.3600036621094,-0.014287865065498506,HOLD
2021-08-27,663.2005615234375,678.2999877929688,684.2000122070312,657.5,660.0,171694,690.7100036621093,,,683.4283014966965,46.927082137743916,-5.257926199117378,,,730.5622849650695,650.8577223591492,690.7100036621093,0.018850901679262178,HOLD
2021-08-30,682.6577758789062,698.2000122070312,702.9500122070312,670.2999877929688,672.0,222947,692.0000030517579,,,684.8351310881569,55.30467375867458,-3.3719107415980716,,,731.0604294311115,652.9395766724042,692.0000030517579,0.02933808753087641,HOLD
2021-08-31,687.9375,703.5999755859375,711.0,688.5999755859375,702.0,251207,690.2175018310547,,,686.6222591355646,57.275485956101456,-1.425070660704705,,,723.2842086033754,657.150795058734,690.2175018310547,0.007734121003287964,HOLD
2021-09-01,761.2190551757812,778.5499877929688,803.2999877929688,716.0,717.5999755859375,6201915,693.1625,,,695.3772809124603,74.24831785042106,6.095389871162297,,,742.6194103162417,643.7055896837584,693.1625,0.10652361399617027,SELL
2021-09-02,739.366455078125,756.2000122070312,797.0,750.2999877929688,784.0,1630602,695.0524993896485,,,701.1699219881336,65.84775853322225,10.135121410685315,,,750.7216708276852,639.3833279516117,695.0524993896485,-0.02870718121683513,HOLD
2021-09-03,745.5752563476562,762.5499877929688,784.2999877929688,753.0,763.5,871908,698.0125,,,707.015642540975,66.99048023648535,13.691204043541006,,,760.9523347634477,635.0726652365524,698.0125,0.00839721698417395,HOLD
