Ratio,Value
P/E,26.069157
P/B,3.8239694
P/S,11.404734523843183
PEG,
EPS,72.3
ROE,0.13991072605471766
ROA,0.09899636021186065
Debt to Equity,0.15765280768570566
Current Ratio,3.990566506747425
Net Profit Margin,0.4172743752838734
Operating Cash Flow Ratio,0.31921853492857905
Beta,0.3
